ID,train_number,planned_arrival,planned_departure,planned_platform,planned_status,category_train,train,path,eva_nr,station_name,station_state,station_city,station_zipcode,station_long,station_lat,station_category,changed_arrival,changed_platform_arrival,changed_departure,changed_platform_departure,message_status,priority,info,arrival_hidden,departure_hidden,arrival_path,departure_path,arrival_status,departure_status,arrival_delay_m,departure_delay_m
1781534358873638088-2505220438-2,7101,2505220440,2505220440,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505220452,,2505220452,,,,,,,,,,,12.0,12.0
7484030838628378431-2505220453-2,7703,2505220455,2505220455,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505220507,,2505220508,,,,,,,,,,,12.0,13.0
-2301911496079253632-2505220423-2,7701,2505220425,2505220425,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505220425,,2505220426,,,,,,,,,,,0.0,1.0
-9020622847777394381-2505220437-3,7501,2505220442,2505220443,3,,S,5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2505220444,,2505220444,,,,,,,,,,,2.0,1.0
8242933012542256606-2505220441-1,7301,,2505220441,,,S,3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2505220441,4,,,,,,,,,,0.0,0.0
-1791943849993085294-2505220423-5,88631,2505220450,2505220451,4,,RE,90,Stuttgart Hbf|Stuttgart-Bad Cannstatt|Waiblingen|Winnenden,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2505220452,,2505220454,,,,,,,,,,,2.0,3.0
4059477772738430465-2505220455-2,7401,2505220457,2505220457,2,,S,4,Marbach(Neckar),8000873,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,71726,9.244299075,48.94379773,5,2505220457,,2505220457,,,,,,,,,,,0.0,0.0
8312618108729256880-2505220348-6,28361,2505220400,2505220400,2,,S,2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,8000934,Beutelsbach,Baden-Württemberg,Weinstadt,71384,9.38551589,48.81038925,5,2505220400,,2505220400,,,,,,,,,,,0.0,0.0
1610636305263390297-2505220429-7,19203,2505220455,2505220457,8,,MEX,18,Heilbronn Hbf|Nordheim(Württ)|Lauffen(Neckar)|Kirchheim(Neckar)|Walheim(Württ)|Besigheim,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2505220455,,2505220457,,,,,,,,,,,0.0,0.0
-6065310940048257316-2505220417-12,19541,2505220453,2505220505,3,,MEX,17a,Pforzheim Hbf|Eutingen(Baden)|Niefern|Enzberg|Mühlacker|Mühlacker Rößlesweg|Illingen(Württ)|Vaihingen(Enz)|Sersheim|Sachsenheim|Ellental,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2505220453,,2505220505,,,,,,,,,,,0.0,0.0
-9020622847777394381-2505220437-1,7501,,2505220437,,,S,5,,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,,,2505220438,,,,,,,,,,,0.0,1.0
-5919247800237366863-2505220416-6,28360,2505220430,2505220430,3,,S,1,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,8001055,Böblingen,Baden-Württemberg,Böblingen,71034,9.004531864,48.68784871,3,2505220431,,2505220432,,,,,,,,,,,1.0,2.0
2884405162672083910-2505220442-5,7002,2505220451,2505220451,2,,S,60,Stuttgart-Zuffenhausen|Neuwirtshaus(Porscheplatz)|Korntal|Weilimdorf,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505220451,,2505220451,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-2534009585857088279-2505220441-5,7601,2505220454,2505220454,3,,S,6,Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505220454,,2505220454,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-3616811172421228948-2505220356-5,28369,2505220409,2505220409,3,,S,6,Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505220409,,2505220409,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-3405121308737868986-2505220356-22,28363,2505220454,2505220455,1,,S,3,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Sommerrain|Stuttgart Nürnberger Str.|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Oberaichen|Leinfelden,8001650,Echterdingen,Baden-Württemberg,Echterdingen,70771,9.169307175,48.69214787,4,2505220458,,2505220500,,,,,,,,,,,4.0,5.0
7889952835218125235-2505220446-4,7102,2505220455,2505220455,1,,S,1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2505220455,,2505220456,,,,,,,,,,,0.0,1.0
-5919247800237366863-2505220416-4,28360,2505220425,2505220425,1,,S,1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2505220426,,2505220426,,,,,,,,,,,1.0,1.0
8312618108729256880-2505220348-7,28361,2505220402,2505220402,3,,S,2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach,8001785,Endersbach,Baden-Württemberg,Weinstadt,71384,9.370192421,48.81317323,4,2505220401,,2505220402,,,,,,,,,,,-1.0,0.0
1182424096928108177-2505220442-3,19109,2505220453,2505220454,5,,MEX,16,Stuttgart Hbf|Stuttgart-Bad Cannstatt,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505220454,,2505220455,,,,,,,,,,,1.0,1.0
4693049160569863660-2505220353-5,28359,2505220402,2505220403,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505220403,,2505220404,,,,,,,,,,,1.0,1.0
1781534358873638088-2505220438-5,7101,2505220447,2505220448,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505220459,,2505220500,,,,,,,,,,,12.0,12.0
-2301911496079253632-2505220423-5,7701,2505220432,2505220433,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505220433,,2505220433,,,,,,,,,,,1.0,0.0
