ID,train_number,planned_arrival,planned_departure,planned_platform,planned_status,category_train,train,path,eva_nr,station_name,station_state,station_city,station_zipcode,station_long,station_lat,station_category,changed_arrival,changed_platform_arrival,changed_departure,changed_platform_departure,message_status,priority,info,arrival_hidden,departure_hidden,arrival_path,departure_path,arrival_status,departure_status,arrival_delay_m,departure_delay_m
1781534358873638088-2505190438-2,7101,2505190440,2505190440,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505190440,,2505190440,,,,,,,,,,,0.0,0.0
7484030838628378431-2505190453-2,7703,2505190455,2505190455,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505190456,,2505190456,,,,,,,,,,,1.0,1.0
-2301911496079253632-2505190423-2,7701,2505190425,2505190425,3,,S,1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2505190425,,2505190425,,,,,,,,,,,0.0,0.0
-9020622847777394381-2505190437-3,7501,2505190442,2505190443,3,,S,5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2505190442,,2505190443,,,,,,,,,,,0.0,0.0
-1791943849993085294-2505190423-5,88631,2505190450,2505190451,4,,RE,90,Stuttgart Hbf|Stuttgart-Bad Cannstatt|Waiblingen|Winnenden,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2505190454,,2505190454,,,,,,,,,,,4.0,3.0
8242933012542256606-2505190441-1,7301,,2505190441,,,S,3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2505190441,1,,,,,,,,,,0.0,0.0
4059477772738430465-2505190455-2,7401,2505190457,2505190457,2,,S,4,Marbach(Neckar),8000873,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,71726,9.244299075,48.94379773,5,2505190457,,2505190457,,,,,,,,,,,0.0,0.0
8312618108729256880-2505190348-6,28361,2505190400,2505190400,2,,S,2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,8000934,Beutelsbach,Baden-Württemberg,Weinstadt,71384,9.38551589,48.81038925,5,2505190400,,2505190400,,,,,,,,,,,0.0,0.0
1610636305263390297-2505190429-7,19203,2505190455,2505190457,8,,MEX,18,Heilbronn Hbf|Nordheim(Württ)|Lauffen(Neckar)|Kirchheim(Neckar)|Walheim(Württ)|Besigheim,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2505190455,,2505190457,,,,,,,,,,,0.0,0.0
-9020622847777394381-2505190437-1,7501,,2505190437,,,S,5,,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,,,2505190437,,,,,,,,,,,0.0,0.0
-6065310940048257316-2505190417-12,19541,2505190453,2505190505,3,,MEX,17a,Pforzheim Hbf|Eutingen(Baden)|Niefern|Enzberg|Mühlacker|Mühlacker Rößlesweg|Illingen(Württ)|Vaihingen(Enz)|Sersheim|Sachsenheim|Ellental,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2505190454,,2505190505,,,,,,,,,,,1.0,0.0
-5919247800237366863-2505190416-6,28360,2505190430,2505190430,3,,S,1,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,8001055,Böblingen,Baden-Württemberg,Böblingen,71034,9.004531864,48.68784871,3,2505190430,,2505190431,,,,,,,,,,,0.0,1.0
-3616811172421228948-2505190356-5,28369,2505190409,2505190409,3,,S,6,Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505190409,,2505190409,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-2534009585857088279-2505190441-5,7601,2505190454,2505190454,3,,S,6,Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505190454,,2505190455,,h,1,Bauarbeiten,,,,,,,0.0,1.0
2884405162672083910-2505190442-5,7002,2505190451,2505190451,2,,S,60,Stuttgart-Zuffenhausen|Neuwirtshaus(Porscheplatz)|Korntal|Weilimdorf,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2505190452,,2505190452,,h,1,Bauarbeiten,,,,,,,1.0,1.0
-3405121308737868986-2505190356-22,28363,2505190454,2505190455,1,,S,3,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Sommerrain|Stuttgart Nürnberger Str.|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Oberaichen|Leinfelden,8001650,Echterdingen,Baden-Württemberg,Echterdingen,70771,9.169307175,48.69214787,4,2505190454,,2505190456,,,,,,,,,,,0.0,1.0
-5919247800237366863-2505190416-4,28360,2505190425,2505190425,1,,S,1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2505190425,,2505190425,,,,,,,,,,,0.0,0.0
7889952835218125235-2505190446-4,7102,2505190455,2505190455,1,,S,1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2505190455,,2505190455,,,,,,,,,,,0.0,0.0
8312618108729256880-2505190348-7,28361,2505190402,2505190402,3,,S,2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach,8001785,Endersbach,Baden-Württemberg,Weinstadt,71384,9.370192421,48.81317323,4,2505190402,,2505190402,,,,,,,,,,,0.0,0.0
1781534358873638088-2505190438-5,7101,2505190447,2505190448,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505190447,,2505190448,,,,,,,,,,,0.0,0.0
1182424096928108177-2505190442-3,19109,2505190453,2505190454,5,,MEX,16,Stuttgart Hbf|Stuttgart-Bad Cannstatt,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505190453,,2505190454,,,,,,,,,,,0.0,0.0
4693049160569863660-2505190353-5,28359,2505190402,2505190403,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505190402,,2505190404,,,,,,,,,,,0.0,1.0
-2301911496079253632-2505190423-5,7701,2505190432,2505190433,7,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen,8001920,Esslingen (Neckar),Baden-Württemberg,Esslingen am Neckar,73728,9.300578149,48.73854148,3,2505190432,,2505190433,,,,,,,,,,,0.0,0.0
1781534358873638088-2505190438-6,7101,2505190450,2505190450,3,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar),8001921,Esslingen-Mettingen,Baden-Württemberg,Esslingen am Neckar,73733,9.275799007,48.74696655,3,2505190450,,2505190450,,,,,,,,,,,0.0,0.0
4693049160569863660-2505190353-6,28359,2505190405,2505190405,3,,S,1,Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar),8001921,Esslingen-Mettingen,Baden-Württemberg,Esslingen am Neckar,73733,9.275799007,48.74696655,3,2505190406,,2505190406,,,,,,,,,,,1.0,1.0
